zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
95812,Sacramento,,CA,Sacramento County,38.58,-121.49,1004,
95813,Sacramento,,CA,Sacramento County,38.5,-121.41,0,
95814,Sacramento,,CA,Sacramento County,38.58,-121.49,5330,
95815,Sacramento,,CA,Sacramento County,38.6,-121.46,14432,
95816,Sacramento,,CA,Sacramento County,38.57,-121.46,12950,
95817,Sacramento,,CA,Sacramento County,38.55,-121.45,8527,
95818,Sacramento,,CA,Sacramento County,38.55,-121.49,16236,
95819,Sacramento,,CA,Sacramento County,38.56,-121.43,13837,
95820,Sacramento,,CA,Sacramento County,38.53,-121.44,23334,
95821,Sacramento,,CA,Sacramento County,38.62,-121.38,24579,
95822,Sacramento,,CA,Sacramento County,38.51,-121.49,31791,
95823,Sacramento,,CA,Sacramento County,38.47,-121.44,50088,
95824,Sacramento,,CA,Sacramento County,38.51,-121.44,19631,
95825,Sacramento,,CA,Sacramento County,38.58,-121.4,20027,
95826,Sacramento,,CA,Sacramento County,38.54,-121.38,26728,
95827,Sacramento,,CA,Sacramento County,38.55,-121.32,16012,
95828,Sacramento,,CA,Sacramento County,38.48,-121.4,40823,
